Feature 1,Feature 2,Correlation
sensor_7,sensor_12,0.9631566003059777
sensor_12,sensor_7,0.9631566003059777
sensor_10,sensor_9,-0.8468835930051095
sensor_9,sensor_10,-0.8468835930051095
sensor_9,sensor_2,0.8301356963159814
sensor_2,sensor_9,0.8301356963159814
sensor_11,sensor_6,0.8260843322333415
sensor_6,sensor_11,0.8260843322333415
sensor_5,sensor_9,-0.8228050249957694
sensor_9,sensor_5,-0.8228050249957694
sensor_10,sensor_2,-0.8155905161052142
sensor_2,sensor_10,-0.8155905161052142
sensor_5,sensor_10,0.8127126013254141
sensor_10,sensor_5,0.8127126013254141
sensor_5,sensor_2,-0.7931295615103569
sensor_2,sensor_5,-0.7931295615103569
sensor_11,sensor_10,-0.7884412801839427
sensor_10,sensor_11,-0.7884412801839427
sensor_10,sensor_6,-0.7865396050294026
sensor_6,sensor_10,-0.7865396050294026
sensor_6,sensor_9,0.782212769633699
sensor_9,sensor_6,0.782212769633699
sensor_13,sensor_9,0.7809127612290538
sensor_9,sensor_13,0.7809127612290538
sensor_9,sensor_11,0.7807607871761727
sensor_11,sensor_9,0.7807607871761727
sensor_19,sensor_9,-0.77255446294215
sensor_9,sensor_19,-0.77255446294215
sensor_9,sensor_18,-0.7715096058655172
sensor_18,sensor_9,-0.7715096058655172
sensor_6,sensor_5,-0.7671324922557783
sensor_5,sensor_6,-0.7671324922557783
sensor_13,sensor_10,-0.7660517140324322
sensor_10,sensor_13,-0.7660517140324322
sensor_11,sensor_5,-0.7646112718879472
sensor_5,sensor_11,-0.7646112718879472
sensor_13,sensor_2,0.7584588237333837
sensor_2,sensor_13,0.7584588237333837
sensor_10,sensor_19,0.7562626092978839
sensor_19,sensor_10,0.7562626092978839
sensor_10,sensor_18,0.7519430767100542
sensor_18,sensor_10,0.7519430767100542
sensor_18,sensor_2,-0.7480671529345257
sensor_2,sensor_18,-0.7480671529345257
sensor_5,sensor_13,-0.7470510147905534
sensor_13,sensor_5,-0.7470510147905534
sensor_2,sensor_6,0.7468516378386505
sensor_6,sensor_2,0.7468516378386505
sensor_2,sensor_19,-0.7451931072313168
sensor_19,sensor_2,-0.7451931072313168
sensor_2,sensor_11,0.7451584171065417
sensor_11,sensor_2,0.7451584171065417
sensor_9,operational_setting_3,0.7400200250826956
operational_setting_3,sensor_9,0.7400200250826956
sensor_19,sensor_5,0.7374465463515106
sensor_5,sensor_19,0.7374465463515106
sensor_18,sensor_5,0.7361633224361062
sensor_5,sensor_18,0.7361633224361062
sensor_10,operational_setting_3,-0.7245784731486259
operational_setting_3,sensor_10,-0.7245784731486259
sensor_9,sensor_15,0.7222963106255637
sensor_15,sensor_9,0.7222963106255637
sensor_2,operational_setting_3,0.7149492357344351
operational_setting_3,sensor_2,0.7149492357344351
sensor_13,sensor_18,-0.7076714769272786
sensor_18,sensor_13,-0.7076714769272786
sensor_19,sensor_13,-0.7040428734102897
sensor_13,sensor_19,-0.7040428734102897
sensor_2,sensor_15,0.7034991076071142
sensor_15,sensor_2,0.7034991076071142
sensor_15,sensor_10,-0.703485278207456
sensor_10,sensor_15,-0.703485278207456
operational_setting_3,sensor_5,-0.7021364512462589
sensor_5,operational_setting_3,-0.7021364512462589
sensor_6,sensor_13,0.7009493494249727
sensor_13,sensor_6,0.7009493494249727
sensor_13,sensor_11,0.6976618546669631
sensor_11,sensor_13,0.6976618546669631
sensor_9,sensor_1,0.6959001518952433
sensor_1,sensor_9,0.6959001518952433
sensor_19,sensor_18,0.6934799722903521
sensor_18,sensor_19,0.6934799722903521
sensor_5,sensor_15,-0.6928926302047299
sensor_15,sensor_5,-0.6928926302047299
sensor_11,sensor_19,-0.6889476988497244
sensor_19,sensor_11,-0.6889476988497244
sensor_19,sensor_6,-0.6888400311461289
sensor_6,sensor_19,-0.6888400311461289
sensor_6,sensor_18,-0.6870302309800845
sensor_18,sensor_6,-0.6870302309800845
sensor_11,sensor_18,-0.6861723315544418
sensor_18,sensor_11,-0.6861723315544418
sensor_1,sensor_10,-0.6803068131690223
sensor_10,sensor_1,-0.6803068131690223
sensor_2,sensor_1,0.6784127230560498
sensor_1,sensor_2,0.6784127230560498
sensor_13,operational_setting_3,0.6759751834687656
operational_setting_3,sensor_13,0.6759751834687656
sensor_13,sensor_15,0.6692049306289927
sensor_15,sensor_13,0.6692049306289927
sensor_19,operational_setting_3,-0.6680502336445686
operational_setting_3,sensor_19,-0.6680502336445686
sensor_1,sensor_5,-0.6645953071132292
sensor_5,sensor_1,-0.6645953071132292
operational_setting_3,sensor_6,0.6623249714774174
sensor_6,operational_setting_3,0.6623249714774174
sensor_18,operational_setting_3,-0.6618407016052607
operational_setting_3,sensor_18,-0.6618407016052607
operational_setting_3,sensor_11,0.6617924441473203
sensor_11,operational_setting_3,0.6617924441473203
sensor_15,sensor_19,-0.658709754613216
sensor_19,sensor_15,-0.658709754613216
sensor_15,sensor_18,-0.651020874094054
sensor_18,sensor_15,-0.651020874094054
sensor_13,sensor_1,0.6399212019115169
sensor_1,sensor_13,0.6399212019115169
sensor_19,sensor_1,-0.6339008220838394
sensor_1,sensor_19,-0.6339008220838394
sensor_15,operational_setting_3,0.6298855524724691
operational_setting_3,sensor_15,0.6298855524724691
sensor_15,sensor_6,0.6277852737540895
sensor_6,sensor_15,0.6277852737540895
sensor_15,sensor_11,0.6274095045812401
sensor_11,sensor_15,0.6274095045812401
sensor_18,sensor_1,-0.6259414240527787
sensor_1,sensor_18,-0.6259414240527787
operational_setting_3,sensor_1,0.6026096254119674
sensor_1,operational_setting_3,0.6026096254119674
sensor_6,sensor_1,0.6024805063934716
sensor_1,sensor_6,0.6024805063934716
sensor_11,sensor_1,0.6009632389153459
sensor_1,sensor_11,0.6009632389153459
sensor_1,sensor_15,0.600017206635657
sensor_15,sensor_1,0.600017206635657
sensor_7,sensor_15,0.3371097288462261
